Crime Type,Crime Subtype,Crime Description,Crime Severity,Crime Status,Location,Area/Neighborhood,City,State/Region,Country,Location Type,Date,Time,Day of the Week,Season,Duration,Victim Name,Victim Age,Victim Gender,Victim Contact Information,Victim Statement,Injuries Sustained,Property Lost/Damaged,Suspect Name,Suspect Age,Suspect Gender,Suspect Description,Suspect Criminal History,Suspect Modus Operandi,Number of Suspects,Witness Name,Witness Statement,Witness Contact Information,Evidence Type,Evidence Description,Evidence Collection Date,Evidence Location,Arrests Made,Charges Filed,Method of Entry,Weapons Used,Tools Used,Escape Route,Monetary Loss,Motive,Crime Pattern,Gang Involvement,Terrorism Link,Media Coverage,Public Alert Issued,Social Media Activity,Source of Information,Confidentiality Level,Tags/Keywords
Property Crime,Arson,Nisi aliquam hic architecto perspiciatis ad adipisci ut mollitia nobis magnam dolorum vero expedita repellat vero totam.,Severe,Under Investigation,"19, Iyer Street, Deoghar-612387",Bardhaman,Ludhiana,Punjab,India,Residential,2013-09-22,18:46:48,Wednesday,Monsoon,84 minutes,Zoya Varughese,48,Other,4804476585,Choose the desire for the time when you often have selected this will explain to be repel.,Burn injuries,Bike set on fire,Nirvi Gill,43,Other,Sint rem maxime aut veniam quae error voluptatum pariatur corrupti ratione cum deserunt libero sapiente officiis. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Used a stolen car for escape,4,Arhaan Ghose,"And like us, no one is to be rejected, no one who is to be rejected by a wise man's necessity, to be taken up to.",9546027795,CCTV Footage,Bank statements proving embezzlement,1980-01-11,"33
Chhabra Chowk, Aligarh 712586",No,Case registered under cybercrime act,Security Breach,,,Escaped using a fake taxi,Rs. 36413,Personal Vendetta,Yes,Yes,No,No,Yes,No,Police Report,Classified,arson
Organized Crime,Human Trafficking,Similique ducimus ullam nam incidunt totam voluptates quos at dignissimos fuga dolore ipsum aliquam dolor minus error animi expedita blanditiis harum nemo rerum alias dolore pariatur sequi omnis.,Minor,Reported,"22, Deo Chowk, Ajmer 342903",Bhatpara,Ludhiana,Punjab,India,Public Space,2023-01-01,05:14:14,Thursday,Autumn,51 minutes,Yuvaan Tella,50,Male,911017718728,"Failure finds a fault, but they do not lead to the blinded here, nor.",Fractured arm,Jewelry worth Rs. 2 lakhs stolen,Prisha Choudhury,48,Female,Soluta tempora vel illo pariatur consequuntur officiis neque. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Threatened victims with a knife,5,Urvi Shanker,"The deleniti do not know the said methods of ancestors, the greater the majority of those who have never compliments of greater regular as a great explicit.",916651329142,CCTV Footage,CCTV footage showing the suspect,1984-04-02,"90/703
Chada Chowk
Rewa-964292",Yes,Arrested and charged for human trafficking,Forced Entry,Gun,Hacking Software,Left the country using a fake passport,Rs. 144958,Personal Vendetta,Yes,No,Yes,Yes,Yes,No,Witness Account,Public,human trafficking
Terrorism,Bombing,Repellat delectus illo fuga ratione perferendis molestiae quod maxime quibusdam aperiam nobis tenetur adipisci hic accusantium voluptatem eum ipsum deserunt enim rem eius iusto vitae ipsum.,Minor,Solved,"H.No. 19
Sandhu Circle
Kochi 072677",Saharanpur,Ludhiana,Punjab,India,Public Space,2009-02-27,02:32:43,Tuesday,Monsoon,76 minutes,Vedika Mander,35,Other,1481486079,The body rejected that when they accepted to do the debts which are convenient to lead to the great pwned or softness.,Multiple stab wounds,Bike set on fire,Himmat Shankar,49,Other,Sunt doloribus ea possimus voluptatem asperiores debitis delectus est maxime. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Broke in through the backdoor,4,Taran Swaminathan,A great film finder is incident for a large actual bound.,6130955438,CCTV Footage,CCTV footage showing the suspect,1984-11-08,"H.No. 48, Bera Zila, Parbhani 531483",Yes,No charges filed yet,Unlocked Door,Gun,,Boarded a train to another city,Rs. 394110,Financial Gain,Yes,No,Yes,No,Yes,No,Victim Statement,Classified,bombing
Rioting,Religious Riot,Ea beatae error numquam sed perferendis at ut debitis magni pariatur dolorem dolor beatae in explicabo velit sint aut omnis adipisci magnam cumque natus.,Severe,Closed,"H.No. 03, Edwin Road
Medininagar 463719",Warangal,Ludhiana,Punjab,India,Residential,2009-10-25,04:59:12,Tuesday,Summer,60 minutes,Divyansh Ratti,58,Female,914521315611,"We can consequences, we can be the pleasure of those who are very deserving of the pleasure of things.",Minor bruises,Laptop and cash stolen,Uthkarsh Keer,20,Other,Dicta quae id repellendus quas placeat sint libero harum debitis commodi temporibus. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Broke in through the backdoor,5,Ela Bora,"The very reason of the very often, the pleasure of the lifting of rejects the most discomfort or physical law.",2244605255,DNA Sample,Bank statements proving embezzlement,2015-05-16,"26/649
Wadhwa Ganj
Kurnool-724975",Yes,Bailable offense under IPC 420,Unlocked Door,Blunt Object,,Left the country using a fake passport,Rs. 482554,Financial Gain,No,Yes,Yes,Yes,No,No,Victim Statement,Classified,religious riot
Rioting,Religious Riot,Ex voluptates dolore molestias officiis aspernatur repellendus iusto saepe reiciendis beatae facere neque facere natus necessitatibus numquam nihil laboriosam.,Minor,Reported,"10
Sodhi Road
Nizamabad 294613",Gudivada,Ludhiana,Punjab,India,Public Space,1970-11-20,04:11:05,Thursday,Monsoon,67 minutes,Gokul Bhatt,40,Female,913211380760,"In which it is the very things of which he wants to all of the truth, who are eagerness.",Head injury,House ransacked,Lakshit Bava,29,Female,Sapiente molestias unde molestias sit officia totam ipsum inventore explicabo. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Used a stolen car for escape,4,Mahika Ramaswamy,"Great pain in the ways of a fault asks to be punished in the righteous, and the righteous are to be fled to provide to be pleasing to the right.",3708276159,CCTV Footage,Murder weapon recovered from trash,1977-05-12,"25/22, Ghosh Path, Farrukhabad-795245",No,Charged under IPC 392 for robbery,Security Breach,,,Fled on a stolen bike,Rs. 419358,Gang Rivalry,Yes,Yes,No,Yes,Yes,Yes,Police Report,Public,religious riot
Rioting,Religious Riot,Nisi perferendis voluptates tenetur modi laudantium quo amet libero doloribus impedit dolores temporibus corrupti laudantium.,Severe,Under Investigation,"85/84
Mangal
Nizamabad 873355",Jamshedpur,Ludhiana,Punjab,India,Public Space,2002-03-13,01:04:31,Saturday,Summer,71 minutes,Kaira Saxena,54,Female,4592281080,"Avoid benefit of our own from rejects from him, indeed, and the needs of praise to the needs of the, and when they are a fault, indeed.",Gunshot wound,Laptop and cash stolen,Riya Batta,48,Female,Dolor laboriosam veritatis error quam odit vero sit quibusdam voluptate nobis quibusdam perspiciatis ducimus. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Set fire to the evidence,5,Aradhya Grewal,A convenience of the free time there is nothing that deleniti repudiandae mollification is accepted.,1491604729,DNA Sample,Hacked emails with transaction details,2011-11-14,"91
Bahl Nagar
Aurangabad-094484",Yes,Case registered under cybercrime act,Forced Entry,Gun,Lockpick,Used a tunnel behind the house,Rs. 44093,Financial Gain,No,No,No,Yes,No,No,Witness Account,Restricted,religious riot
Robbery,Highway Robbery,Iste mollitia magnam sunt minima quod minus ipsa qui iste possimus facilis similique doloribus sit ea.,Minor,Reported,"H.No. 474, Reddy Marg
Chandigarh 410021",North Dumdum,Ludhiana,Punjab,India,Residential,2011-03-03,19:05:25,Sunday,Summer,90 minutes,Raunak Anand,50,Male,911983442177,The smallest of the fault of the environment of many people often hinders him to hate him.,Burn injuries,Laptop and cash stolen,Shlok Sanghvi,31,Male,Nam quam quos amet nulla reiciendis nobis quae porro ullam placeat. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Used fake IDs to commit fraud,1,Shamik Jha,For the resilience of the denouncing the distinction of the blandishments of the blandishments of the blandishments of the pleasure.,5975818364,Weapon,CCTV footage showing the suspect,1999-07-20,"H.No. 081, Rajagopal Chowk
Morena-776986",Yes,Case registered under cybercrime act,Unlocked Door,Knife,,Ran into a crowded market,Rs. 278613,Gang Rivalry,Yes,No,Yes,No,No,Yes,Police Report,Classified,highway robbery
Terrorism,Terrorist Attack,Inventore vero nostrum porro nostrum placeat odio adipisci cum minima architecto blanditiis numquam quae delectus ab corrupti maxime impedit perspiciatis voluptate.,Moderate,Solved,"069, Samra Road, North Dumdum 137098",Chandrapur,Ludhiana,Punjab,India,Commercial,1999-04-24,18:30:12,Monday,Autumn,28 minutes,Lavanya Arya,30,Other,910438142249,"Minneapolis are often called unless the wisdom of painful pains especially due pleasures of the pleasures of the great, therefore, is bound to or easily.",Fractured arm,Shop looted overnight,Mahika Balakrishnan,40,Male,Molestiae laborum provident aspernatur officiis eligendi cum cumque rem rerum deserunt corrupti. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Used fake IDs to commit fraud,2,Shray Sridhar,Dolorum leaders to freedom of flight that we can chosen pain at pain hate accusing incident to the accusation of regular pleasure.,911270724970,Weapon,Hacked emails with transaction details,2013-11-28,"H.No. 35, Bhavsar Zila
Bihar Sharif 874166",No,Under IPC 302 for murder,Forced Entry,Gun,Lockpick,Left the country using a fake passport,Rs. 181335,Financial Gain,Yes,Yes,Yes,Yes,No,Yes,Witness Account,Restricted,terrorist attack
Robbery,Highway Robbery,Quae molestiae voluptatem animi ex enim consectetur sint reprehenderit minus sequi quos eaque officia vero iure reprehenderit exercitationem aliquam eaque nulla neque aut corrupti magnam similique aspernatur at.,Severe,Solved,"458
Roy Chowk, Srikakulam-372497",Rampur,Ludhiana,Punjab,India,Residential,2024-03-21,18:32:01,Sunday,Monsoon,70 minutes,Tushar Krishnan,50,Male,8295933189,Explain the pleasures will explain the will will explain the error with pain and never welcome.,Burn injuries,Bike set on fire,Divit Das,27,Female,Nostrum magni aliquid aliquam id quo laboriosam officiis sit fugiat repudiandae possimus aut. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Threatened victims with a knife,3,Jayan Chowdhury,"It is bound to impede any of the offices that are not a pleasure, from which it is, indeed, was blinded by the corrupt here.",7590706496,Weapon,Hacked emails with transaction details,2008-05-29,"35, Din Path, Bulandshahr-673786",Yes,Charged under IPC 392 for robbery,Forced Entry,,Lockpick,Used a tunnel behind the house,Rs. 27790,Gang Rivalry,Yes,No,Yes,No,No,Yes,Victim Statement,Restricted,highway robbery
Terrorism,Cyber Terrorism,Magni consequuntur earum facere doloribus quo eum praesentium nobis hic autem ea consequuntur exercitationem quod.,Minor,Under Investigation,"H.No. 63, Dhar Road, Gandhinagar 666143",Karawal Nagar,Ludhiana,Punjab,India,Commercial,2001-09-16,06:16:51,Wednesday,Monsoon,54 minutes,Gatik Ray,27,Male,9472677661,Illum officia blanditiis nostrum error officia veniam architecto in quis voluptatum saepe.,Minor bruises,Car windshield broken,Adah Mall,48,Other,Illum repellat numquam modi voluptatem pariatur assumenda impedit explicabo deserunt officia debitis sit sequi cumque quis. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Used fake IDs to commit fraud,1,Azad Gandhi,Wise exercise to be prepared for free and any other person who is to be at the other.,4776945191,Weapon,Murder weapon recovered from trash,1984-02-11,"87, Sant Marg
Moradabad-831764",No,Case registered under cybercrime act,Unlocked Door,Blunt Object,Lockpick,Fled on a stolen bike,Rs. 496032,Financial Gain,No,Yes,No,Yes,Yes,No,Witness Account,Classified,cyber terrorism
Kidnapping/Abduction,Child Abduction,Id laboriosam quo deleniti atque vitae deserunt minus fugit vitae itaque quasi quos nostrum ratione minima illo.,Minor,Under Investigation,"85/11
Magar Ganj
Chittoor 412564",Avadi,Ludhiana,Punjab,India,Residential,2021-04-20,20:35:58,Saturday,Autumn,79 minutes,Alisha Sha,50,Male,913447903727,"I open the worse than to achieve that offices abandon the pleasures of the vision of life to follow the pleasure of pleasure, pleasure in law.",Burn injuries,House ransacked,Aarush Gupta,22,Female,Quod praesentium placeat quasi non inventore doloremque ipsum earum est. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Set fire to the evidence,2,Baiju Rajagopal,Surgery is not to lead to being accepted by pain often prevented a minimal or physical.,5624672950,Fingerprint,CCTV footage showing the suspect,2018-12-04,"H.No. 064, Garde Chowk, Khora  328529",No,No charges filed yet,Security Breach,Blunt Object,Lockpick,Used a tunnel behind the house,Rs. 476467,Personal Vendetta,No,No,Yes,Yes,No,Yes,Police Report,Classified,child abduction
Terrorism,Cyber Terrorism,Fugiat quae quod placeat omnis eos quidem quaerat molestias facere tenetur nesciunt a exercitationem ad.,Minor,Solved,"55/22, Ganesan Marg
Mangalore-696039",Kalyan-Dombivli,Ludhiana,Punjab,India,Public Space,1974-04-06,07:47:21,Wednesday,Autumn,7 minutes,Inaaya  Mallick,40,Male,912948289682,Draw a pleasure to wise prosecutors for the most worthy of them and no one eagerness of the regular but annoyance of the exercise fault is some.,Fractured arm,Jewelry worth Rs. 2 lakhs stolen,Neysa Ahuja,21,Other,Libero alias tempore voluptas repellendus laboriosam modi quod ullam dignissimos laborum dignissimos. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Threatened victims with a knife,4,Sumer Shan,Or coming to achieve the sufferings of the welcome to obtain the very pleasures to the wise quo ought to be avoided.,4242603981,Fingerprint,Witness video recording,1975-08-22,"883, Bhalla Circle
Thanjavur 367431",No,Bailable offense under IPC 420,Unlocked Door,Knife,,Boarded a train to another city,Rs. 195542,Personal Vendetta,Yes,Yes,No,No,Yes,No,Victim Statement,Public,cyber terrorism
Robbery,Highway Robbery,Reiciendis labore excepturi consectetur corrupti odio eius molestiae laudantium corporis non quidem aut cum reiciendis earum labore architecto similique voluptates ipsa placeat laudantium blanditiis.,Minor,Closed,"08/20
Bora Marg
Bahraich 761051",Hubli–Dharwad,Ludhiana,Punjab,India,Residential,1975-02-04,06:33:06,Saturday,Winter,11 minutes,Anahita Vig,27,Female,4657513916,"But this endures the greatest of the tomorrow, the pain is to be encompassed, but that they may be easily developed.",Burn injuries,Jewelry worth Rs. 2 lakhs stolen,Samiha Yohannan,37,Other,Iure blanditiis veniam quia sunt aut maxime sint at laudantium accusantium qui perspiciatis ab reprehenderit officia. Wearing a black hoodie and had a scar on the left cheek.,Previously arrested for burglary,Threatened victims with a knife,1,Pihu Wali,They do not know how easy to obtain the distinction of the reason for the tiny tablets are to be the most worthy of all those whom every wise man is nothing.,916990805730,DNA Sample,Bank statements proving embezzlement,2001-05-11,"663
Mandal Path, Surat-841034",Yes,Arrested and charged for human trafficking,Unlocked Door,Gun,,Used a tunnel behind the house,Rs. 303781,Financial Gain,Yes,Yes,No,Yes,Yes,No,Witness Account,Public,highway robbery
Murder/Homicide,Manslaughter,Deleniti vero mollitia aut iusto aperiam repudiandae eius ad ratione error occaecati aspernatur consequuntur eum error.,Moderate,Reported,"H.No. 871, Mander Road, Ambala-525548",Amritsar,Ludhiana,Punjab,India,Commercial,1989-09-08,19:49:00,Wednesday,Summer,108 minutes,Sahil Borra,50,Female,4301325577,Falling times will never be the greater you will explain to the greatest of the greatest of them from the pursuing them.,"No physical injuries, but mental trauma",House ransacked,Badal Barad,35,Other,Quae culpa possimus iure atque praesentium corrupti. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Used a stolen car for escape,4,Shanaya Comar,"They are soothing welcome this is not the time of hatred, never wise mind worthy.",6113216654,Fingerprint,Witness video recording,2012-01-04,"H.No. 18, Dalal Circle
Tiruchirappalli-864216",Yes,Case registered under cybercrime act,Forced Entry,Blunt Object,Hacking Software,Escaped using a fake taxi,Rs. 32862,Gang Rivalry,No,Yes,Yes,No,No,No,Victim Statement,Public,manslaughter
Rioting,Political Riot,Iusto odit praesentium non iste totam iste rem culpa ipsam quidem earum pariatur consectetur ea explicabo.,Severe,Closed,"H.No. 45
Manne Road, Hubli–Dharwad 806012",Ramagundam,Ludhiana,Punjab,India,Residential,2002-01-03,01:12:59,Saturday,Winter,61 minutes,Aarav Lad,49,Male,6116235399,"Hence, the freedom do not know what is expedient to the truth of the truth of the discovery of the truth of the mind of the exception of the mind of the entity.",Multiple stab wounds,House ransacked,Bhamini Buch,36,Female,Ut officiis sit rem amet vitae inventore ut. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Used fake IDs to commit fraud,4,Dhruv Sen,"Hence, when they welcome the pain to find the pain that offices are great services to the lesser of the greatest of him, the desire of it.",912757846609,CCTV Footage,Murder weapon recovered from trash,2013-02-15,"H.No. 429
Reddy Circle, Raipur-221378",No,Arrested and charged for human trafficking,Unlocked Door,Knife,,Boarded a train to another city,Rs. 473069,Personal Vendetta,No,Yes,Yes,No,Yes,No,Victim Statement,Classified,political riot
Organized Crime,Racketeering,Tenetur temporibus adipisci quod asperiores eaque necessitatibus fuga itaque nihil atque quasi assumenda amet rerum occaecati laborum alias doloribus quas tenetur.,Moderate,Closed,"341
Borde Chowk, Nandyal 417419",Kochi,Ludhiana,Punjab,India,Public Space,1992-12-17,16:04:54,Friday,Summer,15 minutes,Rohan Badal,45,Other,5481227406,"For those who abandon him from the very pleasures of the great distressed, and the pleasures of the great things, nor the needs of the pleasure of the times.",Head injury,House ransacked,Ojas Varma,40,Female,Dolorem quibusdam excepturi architecto labore nulla cum nostrum voluptates quisquam suscipit doloribus facere reiciendis. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Broke in through the backdoor,2,Zeeshan Sankaran,Rebate to the same way to open an annoyance of life which he asks to be assumed to be easily obliged to accept.,912593972803,DNA Sample,Witness video recording,2009-01-11,"612
Saini
Rajpur Sonarpur 616527",No,Case registered under cybercrime act,Security Breach,Knife,,Fled on a stolen bike,Rs. 390381,Personal Vendetta,Yes,Yes,No,Yes,Yes,No,Witness Account,Public,racketeering
Rioting,Political Riot,Corporis totam porro distinctio quia voluptatem nemo consequatur quasi perferendis voluptatem impedit perspiciatis.,Severe,Under Investigation,"515, Solanki
Eluru 616900",Unnao,Ludhiana,Punjab,India,Commercial,2019-05-04,11:40:44,Thursday,Autumn,80 minutes,Shlok Sarin,29,Other,2458708046,Deleniti from the presence of the resilience inventor to obtain or obtain them are often assumed free to follow abandon yet.,Fractured arm,Car windshield broken,Kanav Rajagopalan,19,Other,Laboriosam accusantium nostrum ratione eos ab fugit soluta. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Used fake IDs to commit fraud,2,Zaina Mane,"The most flight rejected by accuse unless the necessities of the present, that it is a consequences of the entire entire thing is bound to be the same and very responsibilities.",912804943523,Weapon,Murder weapon recovered from trash,2008-02-20,"96
Mani Ganj
Morena-525910",Yes,Bailable offense under IPC 420,Security Breach,,,Used a tunnel behind the house,Rs. 64157,Personal Vendetta,No,Yes,Yes,Yes,No,No,Witness Account,Classified,political riot
Assault,Sexual Assault,Minus voluptatem sit tempore odit dicta est consequuntur recusandae facilis ipsa maxime maxime est necessitatibus saepe magni quisquam aut neque reprehenderit consequatur.,Minor,Closed,"998
Lata Circle
Giridih-507125",Gopalpur,Ludhiana,Punjab,India,Residential,2001-05-28,13:14:48,Monday,Monsoon,97 minutes,Neysa Deshmukh,29,Other,129090615,"The deleniti wants to avoid any distinction of something welcome to follow the body of the pleasures of the pleasures of the convenience, but.",Fractured arm,Bike set on fire,Farhan Dasgupta,48,Female,Ipsam rem officiis sit in mollitia omnis nisi harum hic. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Hacked into bank accounts,4,Ivan Sama,Provision is ready for pain and rejected the needs of his requirements are at the encounter pain accuse some times to be an easy thing.,919060310032,Fingerprint,Fingerprints found on the crime scene,2003-02-12,"09/45
Walla Marg
Karaikudi-995172",Yes,Under IPC 302 for murder,Forced Entry,Gun,Hacking Software,Ran into a crowded market,Rs. 229203,Gang Rivalry,Yes,Yes,No,No,Yes,Yes,Police Report,Classified,sexual assault
Property Crime,Arson,Veniam recusandae asperiores itaque dolores dolores voluptatem impedit eaque vero alias maiores incidunt minima excepturi expedita ratione quisquam magnam ullam commodi aliquid in illum amet non quaerat.,Severe,Closed,"H.No. 651
Shankar Ganj
Bijapur-143268",Bulandshahr,Ludhiana,Punjab,India,Residential,1990-11-05,00:52:53,Tuesday,Autumn,109 minutes,Amira Wason,19,Male,55644718,"Follow with the wise to follow the body, the body is ready to take a happy and painful and painful.",Gunshot wound,Gold chain and mobile phone stolen,Indranil Gopal,40,Male,Enim eveniet veritatis laborum deserunt temporibus est quod soluta illo dolor quo harum odio modi. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Threatened victims with a knife,5,Yasmin Raju,We can ask the right to be rejected by the law of the deleniti the work of the deleniti the laborious offices do not know that a cheering rejected by reason of the present.,6038642542,DNA Sample,Murder weapon recovered from trash,1994-12-24,"74, Bhargava Circle
Visakhapatnam-566053",No,Arrested and charged for human trafficking,Security Breach,Gun,,Escaped using a fake taxi,Rs. 14632,Financial Gain,No,No,Yes,No,No,Yes,Police Report,Public,arson
Terrorism,Terrorist Attack,Nam cum sed doloribus repellat quae ab illo voluptas excepturi ipsum inventore vitae exercitationem.,Severe,Under Investigation,"54/491, Brahmbhatt Chowk, Bhatpara 347839",Rewa,Ludhiana,Punjab,India,Residential,2011-09-16,07:29:17,Monday,Monsoon,84 minutes,Gokul Rajagopalan,31,Other,911872961071,And they may be to be pleased to find the pain of things from which he may be to be taken from.,"No physical injuries, but mental trauma",Laptop and cash stolen,Ahana  Rajagopalan,40,Other,Similique adipisci in provident voluptates repellendus asperiores numquam atque. Wearing a black hoodie and had a scar on the left cheek.,Multiple cases of fraud pending,Hacked into bank accounts,3,Keya Samra,"Something we can do with pain, painful incidental annoyances actually avoided less than the labor of the troubles, the interests of the desire to be a lot of desire to do nothing.",914958374740,Fingerprint,Fingerprints found on the crime scene,1989-01-31,"88/317, Dani, Amritsar-404699",Yes,Under IPC 302 for murder,Forced Entry,Gun,Lockpick,Ran into a crowded market,Rs. 35280,Gang Rivalry,Yes,No,Yes,Yes,No,No,Witness Account,Classified,terrorist attack
Kidnapping/Abduction,Hostage Situation,Suscipit quos amet in eligendi provident totam delectus repudiandae eveniet facilis suscipit iusto impedit eligendi id laboriosam accusantium.,Severe,Closed,"11/45, Shukla Chowk, Panvel-846236",Buxar,Ludhiana,Punjab,India,Residential,2005-05-10,01:41:38,Monday,Winter,64 minutes,Kartik Viswanathan,60,Male,912284047321,"More than the entire film further, no pain of the happy but never do not know nothing will explain the most worthy of the body and body.",Minor bruises,Bike set on fire,Prisha Din,29,Female,Ducimus assumenda ad dolor in vero amet praesentium qui. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Hacked into bank accounts,3,Bhavin Deshpande,Ducimus ex architecto repellat ea est deleniti porro tenetur voluptas odio reprehenderit sapiente occaecati corporis expedita dignissimos quo culpa eos dolores.,913628842151,Weapon,Fingerprints found on the crime scene,1984-02-26,"946, Sundaram Road, Ranchi 682006",Yes,Bailable offense under IPC 420,Unlocked Door,Knife,Hacking Software,Ran into a crowded market,Rs. 79140,Personal Vendetta,No,Yes,Yes,Yes,No,No,Witness Account,Public,hostage situation
Murder/Homicide,First-degree Murder,Repellendus optio illum molestias consectetur doloremque sapiente reprehenderit illum impedit odio animi animi tempora sed sit.,Minor,Reported,"07/17, Dhillon Chowk
Hazaribagh 220014",Udupi,Ludhiana,Punjab,India,Residential,2020-05-03,22:36:51,Monday,Winter,58 minutes,Anika Gopal,38,Female,9863669149,To obtain the pleasures of avoiding the option to find our own choice of pain.,Gunshot wound,Gold chain and mobile phone stolen,Uthkarsh Ratti,18,Female,Tenetur alias nulla blanditiis voluptatem enim accusantium in voluptate non. Wearing a black hoodie and had a scar on the left cheek.,No prior criminal record,Threatened victims with a knife,5,Mohanlal Doshi,"I will explain what is the duties of the foul of the flight of the pain of the other pain at the other, to flee.",4289989949,DNA Sample,Witness video recording,2000-11-26,"H.No. 305
Balay Zila, Kharagpur 398283",No,Arrested and charged for human trafficking,Security Breach,Knife,Hacking Software,Boarded a train to another city,Rs. 103144,Personal Vendetta,No,No,Yes,Yes,No,Yes,Police Report,Restricted,first-degree murder
Murder/Homicide,First-degree Murder,Iste repellat quod labore voluptate inventore eos praesentium ducimus minima fugiat officia alias voluptates nostrum.,Moderate,Solved,"364
Dutt Nagar, Udupi 647639",Ambarnath,Ludhiana,Punjab,India,Commercial,2010-06-15,05:06:46,Saturday,Autumn,110 minutes,Khushi Sinha,42,Other,911703411784,Anyone times denouncing error from the softness of our entire exercise accusation is at.,Multiple stab wounds,House ransacked,Heer Sangha,27,Male,Dolor iusto voluptatum ducimus eius culpa iusto occaecati amet dolorum unde provident et fugit. Wearing a black hoodie and had a scar on the left cheek.,Wanted in two states,Threatened victims with a knife,4,Yasmin Balasubramanian,An occaecati her smooth drives other flattery needs of flights and softness is to choose accepted methods of pain never pleasure from pleasure are enduring.,5567790319,DNA Sample,Witness video recording,2024-12-06,"H.No. 62
Amble Path
Farrukhabad 555932",Yes,Charged under IPC 392 for robbery,Security Breach,Gun,Hacking Software,Fled on a stolen bike,Rs. 427182,Gang Rivalry,Yes,Yes,No,Yes,No,No,Police Report,Restricted,first-degree murder
Rioting,Public Disturbance,Delectus voluptatum voluptatum dolor pariatur id ex voluptas dicta distinctio fugiat consectetur ullam quam doloribus assumenda ullam non ab aspernatur facilis beatae perferendis deserunt hic.,Severe,Solved,"H.No. 26
Bassi
Bhopal-661756",Sambalpur,Ludhiana,Punjab,India,Public Space,1980-04-23,14:25:58,Monday,Autumn,43 minutes,Ryan Kar,24,Other,2393898996,Fault is present with these discomfort to do some things to obtain the law to obtain the most painful pain.,Gunshot wound,Laptop and cash stolen,Suhana Uppal,43,Male,Sapiente atque sit quis fugiat ut fuga fugiat quos. Wearing a black hoodie and had a scar on the left cheek.,Suspected involvement in local gang,Used a stolen car for escape,3,Hansh Bhalla,Follow the flattery option like their pain and softness of the fault archito open any one less to obtain the advantage of the opening.,2095901454,Weapon,Murder weapon recovered from trash,1983-01-21,"72, Ganesh Chowk, Kota 099222",No,Under IPC 302 for murder,Forced Entry,Gun,,Boarded a train to another city,Rs. 370929,Personal Vendetta,Yes,No,No,No,No,Yes,Police Report,Public,public disturbance
Organized Crime,Racketeering,Et ab assumenda iure illum autem rerum rem itaque pariatur corporis reiciendis libero.,Minor,Closed,"H.No. 17, Tank
Asansol 276894",Jamalpur,Ludhiana,Punjab,India,Commercial,2022-05-27,16:43:30,Wednesday,Monsoon,30 minutes,Advik Lalla,52,Female,3652079410,"Consequently, the accusation rejects than any pain that the body is like a mistake.",Gunshot wound,Laptop and cash stolen,Ahana  Srivastava,20,Female,Sunt fuga quia sequi in aliquid excepturi consequatur ea. Wearing a black hoodie and had a scar on the left cheek.,Convicted for assault in 2018,Used fake IDs to commit fraud,5,Arhaan Sur,For either the labor of the deleniti something or tomato when the tiny corrupt to take the blessed chosen.,3868973688,CCTV Footage,Fingerprints found on the crime scene,1974-05-06,"13/25
Subramanian Street
Vijayanagaram 405159",Yes,Arrested and charged for human trafficking,Unlocked Door,Knife,Lockpick,Escaped using a fake taxi,Rs. 334159,Financial Gain,No,No,Yes,Yes,No,Yes,Victim Statement,Public,racketeering
